STT,Câu Hỏi,Dịch Câu Hỏi,Trả Lời,Dịch Câu Trả lời
87,What is the most important skill to achieve the objective in basketball?,Kỹ năng nào quan trọng nhất để đạt được mục tiêu trong bóng rổ?,"The most important skill to achieve the goal in basketball is shooting skills. However, other skills such as passing, screening, defense, and teamwork are also important.","Kỹ năng quan trọng nhất để đạt được mục tiêu trong bóng rổ là kỹ năng ném rổ. Tuy nhiên, các kỹ năng khác như chuyền bóng, rê bóng, phòng ngự và phối hợp đồng đội cũng rất quan trọng."
88,How to change playing tactics to achieve the objective in basketball?,Làm thế nào để thay đổi chiến thuật chơi để đạt được mục tiêu trong bóng rổ?,Analyze the strengths and weaknesses of your team and the opposing team.,Phân tích điểm mạnh và điểm yếu của đội mình và đội đối phương
89,How to integrate knowledge of the objectives of basketball with playing basketball?,Làm thế nào để kết hợp kiến thức về mục tiêu của trò chơi bóng rổ với việc chơi bóng rổ?,Practice regularly to improve basketball skills.,Luyện tập thường xuyên để nâng cao kỹ năng chơi bóng
90,How many quarters are there in a basketball game?,Có bao nhiêu hiệp trong một trận bóng rổ?,"A basketball game consists of 4 quarters, each quarter lasting 10 minutes.","Một trận bóng rổ có 4 hiệp, mỗi hiệp 10 phút."
91,"Besides the 4 official quarters, are there any other quarters in a basketball game?","Ngoài 4 hiệp chính thức, còn có những hiệp nào khác trong một trận bóng rổ?","In some cases, there may be overtime after the 4 regular quarters if the teams are tied. Overtime typically lasts 5 minutes and can be played multiple times until a winner is determined.","Trong một số trường hợp, có thể có thêm hiệp phụ sau 4 hiệp chính thức nếu hai đội hòa điểm. Hiệp phụ thường kéo dài 5 phút và có thể được thi đấu nhiều lần cho đến khi tìm ra đội chiến thắng."
92,Compare the number of quarters in a basketball game between FIBA and NBA.,So sánh số lượng hiệp trong một trận bóng rổ của FIBA và NBA?,"Both FIBA and NBA have 4 regular quarters in a basketball game. However, the NBA has an additional 15-minute break between the 2nd and 3rd quarters, while FIBA only has a 2-minute break.","Cả FIBA và NBA đều có 4 hiệp chính thức trong một trận bóng rổ. Tuy nhiên, NBA có thêm 15 phút nghỉ giữa hiệp 2 và hiệp 3, trong khi FIBA chỉ có 2 phút nghỉ."
93,What is the purpose of dividing quarters in basketball?,Mục đích của việc chia hiệp trong bóng rổ là gì?,Reduce fatigue for players.,Giảm bớt sự mệt mỏi cho các cầu thủ.
94,How to change the number of quarters in a basketball game?,Làm thế nào để thay đổi số lượng hiệp trong một trận bóng rổ?,The number of quarters in a basketball game is usually determined by the tournament organizers.,Việc thay đổi số lượng hiệp trong một trận bóng rổ thường được quy định bởi ban tổ chức giải đấu.
95,How to integrate knowledge of the number of quarters in a basketball game with playing basketball?,Làm thế nào để kết hợp kiến thức về số lượng hiệp trong một trận bóng rổ với việc chơi bóng rổ?,Allocate energy appropriately for each quarter.,Phân bổ sức lực hợp lý cho từng hiệp.
96,How to score in basketball?,Làm thế nào để ghi điểm trong bóng rổ?,"Points can be scored by throwing the ball into the basket. A successful basket from within the 3-point line is worth 2 points, while a successful basket from outside the 3-point line is worth 3 points. Successful free throws are worth 1 point.","Có thể ghi điểm bằng cách ném bóng vào rổ. Ném rổ thành công từ trong vạch 3 điểm sẽ được 3 điểm, ném rổ thành công từ ngoài vạch 3 điểm sẽ được 2 điểm, ném phạt thành công sẽ được 1 điểm."
97,"Besides shooting, what other ways are there to score in basketball?","Ngoài ném rổ, còn có những cách nào khác để ghi điểm trong bóng rổ?","Dunking: Throwing the ball into the basket from above with one hand, usually done after jumping. A successful dunk is worth 2 points.","Ném úp rổ:** Ném bóng vào rổ từ trên cao bằng một tay, thường được thực hiện sau khi nhảy cao. Ném úp rổ thành công được tính 2 điểm"
98,Compare the scoring methods between 5x5 basketball and 3x3 basketball.,So sánh cách thức ghi điểm giữa bóng rổ 5x5 và bóng rổ 3x3?,"The scoring rules in 5x5 basketball and 3x3 basketball are similar. However, 3x3 basketball has additional ""inside"" (from within the 3-point line) and ""outside"" (outside the 3-point line) rules to add excitement to the game.","Cách thức ghi điểm trong bóng rổ 5x5 và bóng rổ 3x3 tương tự nhau. Tuy nhiên, bóng rổ 3x3 có thêm quy tắc ""nội dung"" (từ vạch 3 điểm trở ra) và ""ngoại dung"" (ngoài vạch 3 điểm) để tăng tính hấp dẫn cho trận đấu."
99,What is the most important skill to score in basketball?,Kỹ năng nào quan trọng nhất để ghi điểm trong bóng rổ?,"The most important skill to score points in basketball is shooting skills. However, other skills such as passing, screening, movement, and teamwork are also important.","Kỹ năng quan trọng nhất để ghi điểm trong bóng rổ là kỹ năng ném rổ. Tuy nhiên, các kỹ năng khác như chuyền bóng, rê bóng, di chuyển và phối hợp đồng đội cũng rất quan trọng."
100,How to change scoring tactics in basketball?,Làm thế nào để thay đổi chiến thuật ghi điểm trong bóng rổ?,Analyze the strengths and weaknesses of my team and the opposing team.,Phân tích điểm mạnh và điểm yếu của đội mình và đội đối phương.
101,How to integrate knowledge of scoring techniques in basketball with playing basketball?,Làm thế nào để kết hợp kiến thức về cách thức ghi điểm trong bóng rổ với việc chơi bóng rổ?,Understand the rules of the game and how to score.,Hiểu rõ luật chơi và cách thức ghi điểm
102,What are some common mistakes in basketball?,Những lỗi phổ biến trong bóng rổ là gì?,"Some common basketball fouls include traveling with the ball, double dribbling, shooting the ball after the shot clock expires, personal fouls, and technical fouls.","Một số lỗi phổ biến trong bóng rổ bao gồm: chạy với bóng, đi bóng hai bước, ném bóng quá thời gian, phạm lỗi cá nhân và phạm lỗi kỹ thuật."
103,"Besides common mistakes, what other errors exist in basketball?","Ngoài những lỗi phổ biến, còn có những lỗi nào khác trong bóng rổ?","5 personal fouls rule: When a player commits 5 personal fouls in a game, they will be ejected from the court.","Lỗi 5 lần phạm lỗi cá nhân:** Khi một cầu thủ mắc 5 lỗi cá nhân trong một trận đấu, họ sẽ bị đuổi khỏi sân"
104,Compare common fouls in 5x5 basketball and 3x3 basketball.,So sánh các loại lỗi phổ biến trong bóng rổ 5x5 và bóng rổ 3x3?,"The types of fouls in 5x5 and 3x3 basketball are similar. However, 3x3 basketball has a ""prohibited 2-point shot"" rule in the first 5 seconds after receiving the ball to increase the speed of the game.","Các loại lỗi phổ biến trong bóng rổ 5x5 và bóng rổ 3x3 tương tự nhau. Tuy nhiên, bóng rổ 3x3 có luật ""cấm ném rổ 2 điểm"" trong 5 giây đầu tiên sau khi nhận bóng để tăng tốc độ trận đấu."
105,How to avoid making errors in basketball?,Làm thế nào để tránh mắc lỗi trong bóng rổ?,Play basketball in a fair-play manner and respect opponents.,Chơi bóng một cách fair-play và tôn trọng đối thủ.
106,How to modify rules regarding fouls in basketball?,Làm thế nào để thay đổi luật về lỗi trong bóng rổ?,Changes to the foul rules in basketball are often made by tournament organizers or international basketball associations.,Việc thay đổi luật về lỗi trong bóng rổ thường được thực hiện bởi ban tổ chức giải đấu hoặc liên đoàn bóng rổ quốc tế.
107,How to combine knowledge of basketball fouls with playing basketball?,Làm thế nào để kết hợp kiến thức về các lỗi trong bóng rổ với việc chơi bóng rổ?,Observe and learn from professional players.,Quan sát và học hỏi từ những người chơi chuyên nghiệp.
108,What is the highest professional basketball league in the world?,Giải bóng rổ chuyên nghiệp cao nhất thế giới là gì?,The highest professional basketball league in the world is the National Basketball Association (NBA).,Giải bóng rổ chuyên nghiệp cao nhất thế giới là Giải bóng rổ nhà nghề Mỹ (NBA).
109,"Apart from the NBA, what other professional basketball leagues are considered world-class?","Ngoài NBA, còn có những giải bóng rổ chuyên nghiệp nào khác được xem là đẳng cấp thế giới?",EuroLeague (Europe),EuroLeague (châu Âu)
110,Compare the NBA with the EuroLeague in terms of skill level and competitiveness.,So sánh NBA với EuroLeague về mặt chất lượng chuyên môn và mức độ cạnh tranh.,NBA is considered superior to EuroLeague in terms of professional quality with many of the world's best players.,NBA được đánh giá cao hơn EuroLeague về mặt chất lượng chuyên môn với nhiều cầu thủ xuất sắc nhất thế giới
